answer,correct_option,id,options,problem,type
"(1): 2.603 cm/hr,
0.931 cm/hr,
(2): 5.523 cm",B,MCQ_1_11,"['(1): 1.17 cm/hr,\n0.84 cm/hr,\n(2): 2.371 cm', '(1): 2.603 cm/hr,\n0.931 cm/hr,\n(2): 5.523 cm', '(1): 0.7 cm/hr,\n0.7 cm/hr,\n(2): -4.851 cm', '(1): 1.68 cm/hr,\n0.702 cm/hr,\n(2): 6.359 cm']","The initial rate of infiltration of a watershed is estimated as 17.3 cm/hr, the final capacity is 0.7 cm/hr, and the time constant, k is 0.57 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=3.8 hr and t=7.5 hr;

(2) The total volume of infiltration between t=3.8 hr and t=7.5 hr.
        ",Hydrology
39.56 in,B,MCQ_2_11,"['46.48 in', '39.56 in', '77.98 in', '0.0 in']","A watershed consists of 74% open space/lawn in good condition, with 84% classified as soil group C and 16% as soil group A. The remaining 26% of the watershed is forest land with fair cover, also in soil group C. The curve numbers (CN) for these soil conditions are provided in the table below. Apply the SCS Method to calculate the excess precipitation given a total rainfall of 44.4 inches in this watershed. Clearly outline all assumptions. Assume normal antecedent runoff conditions (ARC II) and Ia=0.2S.

| Land use                   | Soil group | CN |
|----------------------------|------------|----|
| Good condition open space/lawn | C      | 74 |
| Good condition open space/lawn | A      | 39 |
| Forest land with fair cover     | C      | 73 |",Hydrology
"0-10min: 0.6122 in,
10-20min: 1.5897 in,
20-30min: 2.0979 in,
30-40min: 3.7177 in,
40-50min: 4.315 in,
50-60min: 5.3117 in,
60-70min: 5.5777 in,
70-80min: 6.5755 in",B,MCQ_3_11,"['0-10min: -3.693 in,\n10-20min: -536.9089 in,\n20-30min: 34.3867 in,\n30-40min: 19.4627 in,\n40-50min: 19.45 in,\n50-60min: 20.2961 in,\n60-70min: 20.6193 in,\n70-80min: 22.0311 in', '0-10min: 0.6122 in,\n10-20min: 1.5897 in,\n20-30min: 2.0979 in,\n30-40min: 3.7177 in,\n40-50min: 4.315 in,\n50-60min: 5.3117 in,\n60-70min: 5.5777 in,\n70-80min: 6.5755 in', '0-10min: 0 in,\n10-20min: 0 in,\n20-30min: 0 in,\n30-40min: 0 in,\n40-50min: 0 in,\n50-60min: 0 in,\n60-70min: 0 in,\n70-80min: 0 in', '0-10min: 0.07 in,\n10-20min: 0.4826 in,\n20-30min: 1.3857 in,\n30-40min: 2.1962 in,\n40-50min: 2.4155 in,\n50-60min: 3.3887 in,\n60-70min: 4.616 in,\n70-80min: 5.8858 in']","The watershed has a CN value of 97.0. The table below provides the rainfall intensity during the storm event. Determine the excess precipitation for each 10-minute interval.

| Time | Rainfall Intensity (in/hr) |
| :--- | :--- |
| 0-10min | 5.4 |
| 10-20min | 6.1 |
| 20-30min | 3.1 |
| 30-40min | 9.8 |
| 40-50min | 3.6 |
| 50-60min | 6.0 |
| 60-70min | 1.6 |
| 70-80min | 6.0 |",Hydrology
71.18 W/m^2,A,MCQ_4_11,"['71.18 W/m^2', '640.65 W/m^2', '142.37 W/m^2', '9.83 W/m^2']","
Calculate the solar constant at the orbit of Uranus based on what you have learned from the Sun - Earth Geometry, given the following values:

| Temperature of the Sun (T_s) | T_s = 8230 K |
| :--- | :---: |
| Radius of the Sun (R_s) | R_s = 1505000 km |
| Distance of Sun's surface to Uranus (D_v) | D_v = 2877000000.0 km |
| The Stefan-Boltzmann constant (σ) | σ = 5.67e-8 W/m^2/K^4 |

Clearly state the laws or assumptions for the key steps, otherwise marks will be deducted. (Celsius $=$ Kelvin -273 )
        ",Hydrology
"discharge: 74.062 m^3/s,
velocity_inlet: 7.276 m/s,
Reynolds_inlet: 41211.72 ,
Reynolds_outlet: 34502.83 ,
flow_type_inlet: turbulent ,
flow_type_outlet: turbulent ",A,MCQ_6_11,"['discharge: 74.062 m^3/s,\nvelocity_inlet: 7.276 m/s,\nReynolds_inlet: 41211.72 ,\nReynolds_outlet: 34502.83 ,\nflow_type_inlet: turbulent ,\nflow_type_outlet: turbulent ', 'discharge: 185.156 m^3/s,\nvelocity_inlet: 18.19 m/s,\nReynolds_inlet: 103029.29 ,\nReynolds_outlet: 86257.08 ,\nflow_type_inlet: turbulent ,\nflow_type_outlet: turbulent ', 'discharge: 87.841 m^3/s,\nvelocity_inlet: 8.63 m/s,\nReynolds_inlet: 48879.01 ,\nReynolds_outlet: 34502.83 ,\nflow_type_inlet: turbulent ,\nflow_type_outlet: turbulent ', 'discharge: 128.846 m^3/s,\nvelocity_inlet: 20.925 m/s,\nReynolds_inlet: 126162.79 ,\nReynolds_outlet: 84108.53 ,\nflow_type_inlet: turbulent ,\nflow_type_outlet: turbulent ']","
In a circular conduit with varying diameters, diameter D1=3.6 m, transitions to D2=4.3 m. 
The velocity at the outlet profile was measured: V2=5.1 m/s. 
Calculate the discharge and the mean velocity at the inlet profile V1. 
Also, determine the type of flow in both conduit profiles (whether the flow is laminar or turbulent). 
The kinematic viscosity of water is v=0.0006356 m²/s.
        ",Hydrology
1.72 m,D,MCQ_8_11,"['4.25 m', '512.58 m', '0.02 m', '1.72 m']","A train is running smoothly along a curved track at the rate of 4.0 m/s. 
A passenger standing on a set of scales observes that his weight is 37.9% 
greater than when the train is at rest. The track is banked so that the force acting on the passenger 
is normal to the floor of the train. What is the radius of curvature of the track?
",Atmospheric Dynamics
84.9 m/s,B,MCQ_9_11,"['0.0 m/s', '84.9 m/s', '160.84 m/s', '5.63 m/s']","On a frictionless horizontal surface at 18.7° latitude, two balls, each with a diameter of 0.6 meters, are positioned 539.0 meters apart. If both balls are suddenly set in motion towards each other with the same velocity, what should their speed be to ensure they narrowly avoid a collision?",Atmospheric Dynamics
"Lateral Force (N): 0.0 N,
Upward Reaction Force (Eastward) (N): 686000.0 N,
Upward Reaction Force (Westward) (N): 686000.0 N,
Difference in Upward Reaction Force (N): 1000.0 N",D,MCQ_10_11,"['Lateral Force (N): 0.0 N,\nUpward Reaction Force (Eastward) (N): 588000.0 N,\nUpward Reaction Force (Westward) (N): 588000.0 N,\nDifference in Upward Reaction Force (N): 0.0 N', 'Lateral Force (N): 0.0 N,\nUpward Reaction Force (Eastward) (N): 69000.0 N,\nUpward Reaction Force (Westward) (N): 69000.0 N,\nDifference in Upward Reaction Force (N): 0.0 N', 'Lateral Force (N): 0.0 N,\nUpward Reaction Force (Eastward) (N): -0.0 N,\nUpward Reaction Force (Westward) (N): -0.0 N,\nDifference in Upward Reaction Force (N): 0.0 N', 'Lateral Force (N): 0.0 N,\nUpward Reaction Force (Eastward) (N): 686000.0 N,\nUpward Reaction Force (Westward) (N): 686000.0 N,\nDifference in Upward Reaction Force (N): 1000.0 N']","A train engine with a 70000.0 kg mass moves at a speed of 44 m/s on a straight, level track at a latitude of -26.3 degrees N. Determine the lateral force acting on the rails. Contrast the magnitudes of the upward reaction forces exerted by the rails when the locomotive is moving eastward versus westward.",Atmospheric Dynamics
"initial_angular_velocity: 0.9 s,
final_angular_velocity: 0.118 s^-1,
work_done: -84.98 J",A,MCQ_11_11,"['initial_angular_velocity: 0.9 s,\nfinal_angular_velocity: 0.118 s^-1,\nwork_done: -84.98 J', 'initial_angular_velocity: 0.5 s,\nfinal_angular_velocity: 2.61 s^-1,\nwork_done: 1019.69 J', 'initial_angular_velocity: 0.1 s,\nfinal_angular_velocity: 0.662 s^-1,\nwork_done: 121.6 J', 'initial_angular_velocity: 0.6 s,\nfinal_angular_velocity: 0.079 s^-1,\nwork_done: -127.47 J']","A block with a mass of 6.9 kg is hung from one end of a weightless string. The other end passes through a small hole in a horizontal platform where a ball with a mass of 22.5 kg is attached. Determine the angular velocity required for the ball to rotate on the platform to counterbalance the block's weight, given that the ball's horizontal distance from the hole is 3.4 m. As the ball rotates, the block is lowered by 0.23 m. What will be the ball's new angular velocity? How much work is performed in lowering the block?",Atmospheric Dynamics
7.73 km,B,MCQ_12_11,"['33.97 km', '7.73 km', '5.18 km', '11.6 km']",Demonstrate that an atmosphere with uniform density (density does not vary with height) possesses a finite height that is solely determined by the temperature at the lower boundary. Calculate the height of such a homogeneous atmosphere given a surface temperature of 264 K and a surface pressure of 1160 hPa. (Utilize the ideal gas law and the principle of hydrostatic balance.),Atmospheric Physics
-63.8 Pa/h,D,MCQ_13_11,"['-604.8 Pa/h', '-6.4 Pa/h', '97.9 Pa/h', '-63.8 Pa/h']",A ship is heading north at a speed of 47.5 km/h. The surface pressure rises to the northwest at a rate of 3.6 Pa/km. Determine the pressure tendency observed at a nearby island station if the pressure on the ship decreases at a rate of -57.1 Pa/h.,Atmospheric Dynamics
1.159 °C/h,C,MCQ_14_11,"['54.497 °C/h', '2.318 °C/h', '1.159 °C/h', '1.739 °C/h']","At a location 44000.0 km north of a station, the temperature is 3.7 °C less than at the station. Given that the wind direction is from the southeast at a speed of 8.6 m/s and the air is warming due to radiation at a rate of 3.0 °C/h, what is the change in temperature at the station?",Atmospheric Dynamics
