answer,id,problem,type
$F=0.162 \mathrm{~N}$,FPOP_2_1,"At $20^{\circ} \mathrm{C}$, glycerin occupies the area between two horizontal, parallel plates, each with an area of $9 \mathrm{~cm}^{2}$. The upper plate moves at a steady speed while being 1 cm above the stationary lower plate. The velocity gradient measured between these plates is $120 \mathrm{~s}^{-1}$. Determine the shear force acting on the bottom plate.",Atmospheric Physics
(a) torque $=0.101 \mathrm{~N} \mathrm{~m}$; (b) torque $=29.3 \mathrm{~N} \mathrm{~m}$,FPOP_2_2,"Under standard conditions, the dynamic viscosity of a solution is given as 1.24 $\times 10^{-3} \mathrm{~N} \mathrm{~s} \mathrm{~m}^{-2}$. Given that the solution's density is $1025 \mathrm{~kg} \mathrm{~m}^{-3}$, determine the kinematic viscosity.",Physical Oceanography
$p=100.16 \mathrm{kPa}$,FPOP_2_3,"A vertical stationary cylinder measuring one meter in length and 10 cm in diameter is coaxial with a rotating tube that has an internal diameter of 10.1 cm. The consistent annular gap between the cylinders is occupied by water at $20^{\circ} \mathrm{C}$.

The velocity profile from the tube to the cylinder is expressed as:

$$
v(r)=\frac{\omega r\left(1-a^{2} / r^{2}\right)}{1-a^{2 /} / R^{2}}
$$

where $\omega$ represents the angular speed of rotation in radians per second, $a$ is the radius of the inner cylinder, and $R$ is the radius of the outer tube.
a. Calculate the torque on the tube when the cylinder spins at 10 revolutions per second (torque/area $=\mu \mathrm{d} \nu / \mathrm{d} r$, with the cylinder's area $=$ $2 \pi R L$ ).
b. Determine the torque if the fluid used were SAE30 oil instead.",Physical Oceanography
$H=26.9 \mathrm{~cm}$,FPOP_2_4,"Given that the density of water is $1000 \mathrm{~kg} \mathrm{~m}^{-3}$, determine its specific weight. Additionally, calculate its unit weight on the moon, where the gravitational acceleration is $1.66 \mathrm{~m} \mathrm{~s}^{-2}$.",Hydrology
"(a) $p=487 \mathrm{~Pa}$; (b) $p=101.45 \mathrm{~Pa}, \Delta p=614-487=127 \mathrm{~Pa}$",FPOP_2_5,"A bubble features an external diameter of 4 cm and a film thickness of 0.1 mm. Given that the interface surface tension is $0.8 \mathrm{~N} \mathrm{~m}^{-1}$ and the external pressure is 100 kPa, determine the pressure inside the bubble.",Atmospheric Physics
$B=2.13 \times 10^{9} \mathrm{~Pa}$,FPOP_3_1,"An approximate equation of state for water is given by:

$$
p=304,076\left(\frac{\rho}{1000}\right)^{7}-303,975 \mathrm{kPa}
$$

Calculate $B$ for water when the pressure is 100 kPa.",Atmospheric Physics
$\Delta E=1.89 \times 10^{5} \mathrm{~J}$,FPOP_3_2,"Determine the bulk modulus of an ideal gas when subjected to a pressure of 500 kPa under these conditions:
a. in an isothermal process,
b. in an adiabatic process.",Atmospheric Physics
$m=0.247 \mathrm{~kg}$,FPOP_3_3,A tank contains two kilograms of helium at an absolute pressure of 300 kPa and a temperature of $20^{\circ} \mathrm{C}$. The gas is heated until it reaches a temperature of $50^{\circ} \mathrm{C}$. What is the amount of energy transferred to the gas in the tank? Assume helium has $\gamma=1.66$ and $M=0.004 \mathrm{~kg}$.,Atmospheric Physics
$p=6.46 \times 10^{6} \mathrm{~Pa}$,FPOP_3_4,"Five kilograms of air initially at $30^{\circ} \mathrm{C}$ are heated, causing expansion at constant pressure until the temperature reaches $275^{\circ} \mathrm{C}$. Calculate the work performed by the air.",Atmospheric Physics
$\mathrm{wt} .=17.2 \mathrm{~N}$,FPOP_3_5,What is the mass in kilograms of carbon monoxide gas at $0^{\circ} \mathrm{C}$ and an absolute pressure of 200 kPa within a volume of $0.1 \mathrm{~m}^{3}$?,Atmospheric Physics
