answer,correct_option,id,options,problem,type
"(1): 3.87 cm/hr,
1.515 cm/hr,
(2): 7.387 cm",B,MCQ_1_1,"['(1): 3.32 cm/hr,\n2.524 cm/hr,\n(2): 4.354 cm', '(1): 3.87 cm/hr,\n1.515 cm/hr,\n(2): 7.387 cm', '(1): 10.301 cm/hr,\n7.973 cm/hr,\n(2): 43.502 cm', '(1): 5.0 cm/hr,\n4.916 cm/hr,\n(2): -7.489 cm']","The initial rate of infiltration of a watershed is estimated as 8.0 cm/hr, the final capacity is 0.5 cm/hr, and the time constant, k is 0.4 hr^-1. Assume rainfall intensity is always excessive, use Horton's equation to find

(1) The infiltration capacity at t=2.0 hr and t=5.0 hr;

(2) The total volume of infiltration between t=2.0 hr and t=5.0 hr.
        ",Hydrology
2.31 in,C,MCQ_2_1,"['41.07 in', '53.37 in', '2.31 in', '7.77 in']","A watershed consists of 80% open space/lawn in good condition, with 40% classified as soil group C and 60% as soil group A. The remaining 20% of the watershed is forest land with fair cover, also in soil group C. The curve numbers (CN) for these soil conditions are provided in the table below. Apply the SCS Method to calculate the excess precipitation given a total rainfall of 7.0 inches in this watershed. Clearly outline all assumptions. Assume normal antecedent runoff conditions (ARC II) and Ia=0.2S.

| Land use                   | Soil group | CN |
|----------------------------|------------|----|
| Good condition open space/lawn | C      | 74 |
| Good condition open space/lawn | A      | 39 |
| Forest land with fair cover     | C      | 73 |",Hydrology
"0-10min: 0 in,
10-20min: 0 in,
20-30min: 0.0209 in,
30-40min: 0.3851 in,
40-50min: 0.9741 in,
50-60min: 1.6257 in,
60-70min: 1.9874 in,
70-80min: 2.3133 in",B,MCQ_3_1,"['0-10min: 0 in,\n10-20min: 0 in,\n20-30min: 0.0156 in,\n30-40min: 0.1016 in,\n40-50min: 0.1179 in,\n50-60min: 0.5534 in,\n60-70min: 0.9326 in,\n70-80min: 1.6538 in', '0-10min: 0 in,\n10-20min: 0 in,\n20-30min: 0.0209 in,\n30-40min: 0.3851 in,\n40-50min: 0.9741 in,\n50-60min: 1.6257 in,\n60-70min: 1.9874 in,\n70-80min: 2.3133 in', '0-10min: 0 in,\n10-20min: 0 in,\n20-30min: 0.0528 in,\n30-40min: 0.1754 in,\n40-50min: 0.7306 in,\n50-60min: 1.1045 in,\n60-70min: 1.5758 in,\n70-80min: 2.3133 in', '0-10min: -0.4212 in,\n10-20min: -44.2885 in,\n20-30min: 12.5382 in,\n30-40min: 13.1934 in,\n40-50min: 15.9435 in,\n50-60min: 18.6177 in,\n60-70min: 19.9945 in,\n70-80min: 21.1876 in']","The watershed has a CN value of 57.0. The table below provides the rainfall intensity during the storm event. Determine the excess precipitation for each 10-minute interval.

| Time | Rainfall Intensity (in/hr) |
| :--- | :--- |
| 0-10min | 2.0 |
| 10-20min | 4.5 |
| 20-30min | 5.0 |
| 30-40min | 9.0 |
| 40-50min | 8.0 |
| 50-60min | 7.0 |
| 60-70min | 3.5 |
| 70-80min | 3.0 |",Hydrology
3144.06 W/m^2,D,MCQ_4_1,"['39491.35 W/m^2', '0.31 W/m^2', '6288.12 W/m^2', '3144.06 W/m^2']","
Calculate the solar constant at the orbit of Venus based on what you have learned from the Sun - Earth Geometry, given the following values:

| Temperature of the Sun (T_s) | T_s = 5800 K |
| :--- | :---: |
| Radius of the Sun (R_s) | R_s = 700000.0 km |
| Distance of Sun's surface to Venus (D_v) | D_v = 100000000.0 km |
| The Stefan-Boltzmann constant (σ) | σ = 5.67e-8 W/m^2/K^4 |

Clearly state the laws or assumptions for the key steps, otherwise marks will be deducted. (Celsius $=$ Kelvin -273 )
        ",Hydrology
"discharge: 12.272 m^3/s,
velocity_inlet: 6.944 m/s,
Reynolds_inlet: 10416666.67 ,
Reynolds_outlet: 6250000.0 ,
flow_type_inlet: turbulent ,
flow_type_outlet: turbulent ",D,MCQ_6_1,"['discharge: 36.816 m^3/s,\nvelocity_inlet: 20.833 m/s,\nReynolds_inlet: 10416666.67 ,\nReynolds_outlet: 6250000.0 ,\nflow_type_inlet: turbulent ,\nflow_type_outlet: turbulent ', 'discharge: 0.0 m^3/s,\nvelocity_inlet: 0.0 m/s,\nReynolds_inlet: 0.0 ,\nReynolds_outlet: 0.0 ,\nflow_type_inlet: laminar ,\nflow_type_outlet: laminar ', 'discharge: 2.149 m^3/s,\nvelocity_inlet: 0.109 m/s,\nReynolds_inlet: 1783.57 ,\nReynolds_outlet: 7431.55 ,\nflow_type_inlet: laminar ,\nflow_type_outlet: turbulent ', 'discharge: 12.272 m^3/s,\nvelocity_inlet: 6.944 m/s,\nReynolds_inlet: 10416666.67 ,\nReynolds_outlet: 6250000.0 ,\nflow_type_inlet: turbulent ,\nflow_type_outlet: turbulent ']","
In a circular conduit with varying diameters, diameter D1=1.5 m, transitions to D2=2.5 m. 
The velocity at the outlet profile was measured: V2=2.5 m/s. 
Calculate the discharge and the mean velocity at the inlet profile V1. 
Also, determine the type of flow in both conduit profiles (whether the flow is laminar or turbulent). 
The kinematic viscosity of water is v=1e-06 m²/s.
        ",Hydrology
556.11 m,A,MCQ_8_1,"['556.11 m', '139.03 m', '1229.22 m', '9.12 m']","A train is running smoothly along a curved track at the rate of 50.0 m/s. 
A passenger standing on a set of scales observes that his weight is 10.0% 
greater than when the train is at rest. The track is banked so that the force acting on the passenger 
is normal to the floor of the train. What is the radius of curvature of the track?
",Atmospheric Dynamics
6.22 m/s,A,MCQ_9_1,"['6.22 m/s', '9.09 m/s', '1.66 m/s', '4.96 m/s']","On a frictionless horizontal surface at 43.0° latitude, two balls, each with a diameter of 0.04 meters, are positioned 100.0 meters apart. If both balls are suddenly set in motion towards each other with the same velocity, what should their speed be to ensure they narrowly avoid a collision?",Atmospheric Dynamics
"Lateral Force (N): -1000.0 N,
Upward Reaction Force (Eastward) (N): 1959000.0 N,
Upward Reaction Force (Westward) (N): 1961000.0 N,
Difference in Upward Reaction Force (N): 2000.0 N",C,MCQ_10_1,"['Lateral Force (N): -0.0 N,\nUpward Reaction Force (Eastward) (N): 980000.0 N,\nUpward Reaction Force (Westward) (N): 980000.0 N,\nDifference in Upward Reaction Force (N): 1000.0 N', 'Lateral Force (N): 3000.0 N,\nUpward Reaction Force (Eastward) (N): 2058000.0 N,\nUpward Reaction Force (Westward) (N): 2058000.0 N,\nDifference in Upward Reaction Force (N): 0.0 N', 'Lateral Force (N): -1000.0 N,\nUpward Reaction Force (Eastward) (N): 1959000.0 N,\nUpward Reaction Force (Westward) (N): 1961000.0 N,\nDifference in Upward Reaction Force (N): 2000.0 N', 'Lateral Force (N): 0.0 N,\nUpward Reaction Force (Eastward) (N): 0.0 N,\nUpward Reaction Force (Westward) (N): 0.0 N,\nDifference in Upward Reaction Force (N): -0.0 N']","A train engine with a 200000.0 kg mass moves at a speed of 50.0 m/s on a straight, level track at a latitude of 43.0 degrees N. Determine the lateral force acting on the rails. Contrast the magnitudes of the upward reaction forces exerted by the rails when the locomotive is moving eastward versus westward.",Atmospheric Dynamics
"initial_angular_velocity: 1.0 s,
final_angular_velocity: 1.222 s^-1,
work_done: 0.17 J",A,MCQ_11_1,"['initial_angular_velocity: 1.0 s,\nfinal_angular_velocity: 1.222 s^-1,\nwork_done: 0.17 J', 'initial_angular_velocity: 2.0 s,\nfinal_angular_velocity: 2.444 s^-1,\nwork_done: 0.08 J', 'initial_angular_velocity: 1.8 s,\nfinal_angular_velocity: 12.704 s^-1,\nwork_done: 1225.45 J', 'initial_angular_velocity: 2.0 s,\nfinal_angular_velocity: 2.444 s^-1,\nwork_done: 0.34 J']","A block with a mass of 1.0 kg is hung from one end of a weightless string. The other end passes through a small hole in a horizontal platform where a ball with a mass of 10.0 kg is attached. Determine the angular velocity required for the ball to rotate on the platform to counterbalance the block's weight, given that the ball's horizontal distance from the hole is 1.0 m. As the ball rotates, the block is lowered by -0.1 m. What will be the ball's new angular velocity? How much work is performed in lowering the block?",Atmospheric Dynamics
7.99 km,B,MCQ_12_1,"['29.29 km', '7.99 km', '10.6 km', '23.98 km']",Demonstrate that an atmosphere with uniform density (density does not vary with height) possesses a finite height that is solely determined by the temperature at the lower boundary. Calculate the height of such a homogeneous atmosphere given a surface temperature of 273 K and a surface pressure of 1000 hPa. (Utilize the ideal gas law and the principle of hydrostatic balance.),Atmospheric Physics
