model,overall_accuracy,standard_deviation,Geophysics,Hydrology,Physical Oceanography
openai-gpt4o-8000,0.7416666666666667,0.10540925533894596,0.4,0.788235294117647,0.6666666666666666
google-GeminiModel-30000,0,0,,,
openai-o3-mini-8000,0,0,,,
google-gemini-2.0-flash-thinking-exp-01-21-30000,0.8916666666666667,0.04890782461571945,0.7,0.9294117647058824,0.8166666666666667
together-QwQ-32B-Preview-30000,0.9125,0.04585437227560883,0.8,0.9588235294117647,0.8
openai-o3-mini-30000,0.85,0.05624571314254606,0.8,0.8411764705882353,0.8833333333333333
together-Qwen2.5-72B-GeoGPT-8000,0,0,,,
together-Qwen2.5-72B-Instruct-Turbo-8000,0.7666666666666667,0.07905694150420949,0.5,0.8294117647058824,0.6333333333333333
openai-o1-30000,0.9291666666666667,0.039528470752104757,0.7,0.9588235294117647,0.8833333333333333
deepseek-v3-8000,0.9041666666666667,0.06226808825405527,0.8,0.9235294117647059,0.8666666666666667
together-Llama-3.3-70B-Instruct-8000,0,0,,,
openai-gpt4o-mini-8000,0.6083333333333333,0.07136240321480627,0.3,0.6352941176470588,0.5833333333333334
google-gemini-2.0-flash-exp-8000,0.8416666666666667,0.054856715717031934,0.7,0.9,0.7
huggingface-Qwen2.5-72B-GeoGPT-8000,0.5583333333333333,0.06573421981221796,0.6,0.5941176470588235,0.45
deepseek-r1-8000,0.975,0.021516574145596743,0.9,0.9941176470588236,0.9333333333333333
huggingface-gemma-2-9b-it-8000,0.3541666666666667,0.06874649261535878,0.2,0.34705882352941175,0.4
together-Qwen2.5-7B-Instruct-Turbo-8000,0.6125,0.09223309842157773,0.6,0.6470588235294118,0.5166666666666667
together-Qwen3-235B-A22B-fp8-tput-30000,0.9708333333333333,0.03430302509785687,0.7,1.0,0.9333333333333333
together-Llama-3.1-405B-Instruct-Turbo-8000,0.7083333333333334,0.10758287072798381,0.3,0.7647058823529411,0.6166666666666667
