model,overall_accuracy,standard_deviation,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
openai-o3-mini-40000,0.8895522388059701,0.021340906059231064,0.8864864864864865,0.8857142857142857,0.9571428571428572,0.98,0.7
huggingface-Qwen2.5-32B-Instruct-8000,0.5283582089552239,0.056812347954707264,0.46216216216216216,0.6357142857142857,0.6285714285714286,0.6,0.5
openai-gpt4o-8000,0.582089552238806,0.05217954468508216,0.5135135135135135,0.7428571428571429,0.6,0.72,0.45
huggingface-Llama-3.3-70B-Instruct-8000,0.5150602409638554,0.0392016086473128,0.4266304347826087,0.6642857142857143,0.5151515151515151,0.82,0.425
huggingface-Qwen2.5-Coder-32B-Instruct-8000,0.43134328358208956,0.04584139104393808,0.3891891891891892,0.4928571428571429,0.45714285714285713,0.48,0.5
openai-o3-mini-8000,0.8,0.030829718178765494,0.727027027027027,0.8857142857142857,0.9428571428571428,0.98,0.7
google-gemini-2.0-flash-thinking-exp-01-21-30000,0.817910447761194,0.03775853922589109,0.7810810810810811,0.8357142857142857,0.9142857142857143,1.0,0.7
together-QwQ-32B-Preview-30000,0.7089552238805971,0.04407971429519739,0.6324324324324324,0.8785714285714286,0.7714285714285715,0.88,0.5
together-DeepSeek-R1-Distill-Llama-70B-4000,0.5268656716417911,0.05172694022117425,0.47297297297297297,0.5785714285714286,0.5857142857142857,0.76,0.45
openai-o3-mini-30000,0.891044776119403,0.03303872182265473,0.8756756756756757,0.8928571428571429,0.9571428571428572,1.0,0.775
google-gemini-2.0-flash-thinking-exp-01-21-8000,0.5373134328358209,0.03224249103685503,0.43513513513513513,0.7285714285714285,0.5285714285714286,0.86,0.425
together-Qwen2.5-72B-GeoGPT-8000,,,,,,,
together-Qwen2.5-72B-Instruct-Turbo-8000,0.5701492537313433,0.044387478653125305,0.5,0.7642857142857142,0.44285714285714284,0.72,0.575
deepseek-v3-8000,0.6328358208955224,0.0601969491034992,0.5621621621621622,0.7357142857142858,0.6428571428571429,0.94,0.525
together-DeepSeek-R1-Distill-Llama-70B-16000,0.6268656716417911,0.026325883692184988,0.6162162162162163,0.6928571428571428,0.7714285714285715,0.6,0.275
together-QwQ-32B-Preview-4000,0.5597014925373134,0.04407971429519739,0.4810810810810811,0.7571428571428571,0.5285714285714286,0.76,0.4
together-DeepSeek-R1-Distill-Llama-70B-30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
