model,overall_accuracy,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
openai-gpt4o-8000,0.22506393861892582,0.2391304347826087,0.3764705882352941,0.18181818181818182,0.168141592920354,0.21739130434782608
google-GeminiModel-30000,0,,,,,
openai-o3-mini-8000,0,,,,,
google-gemini-2.0-flash-thinking-exp-01-21-30000,0.3145780051150895,0.32608695652173914,0.4470588235294118,0.18181818181818182,0.27876106194690264,0.21739130434782608
together-QwQ-32B-Preview-30000,0.24552429667519182,0.21739130434782608,0.4,0.09090909090909091,0.21238938053097345,0.13043478260869565
openai-o3-mini-30000,0.3375959079283887,0.32608695652173914,0.47058823529411764,0.18181818181818182,0.30973451327433627,0.21739130434782608
together-Qwen2.5-72B-GeoGPT-8000,0,,,,,
together-Qwen2.5-72B-Instruct-Turbo-8000,0.24040920716112532,0.30434782608695654,0.3764705882352941,0.18181818181818182,0.18584070796460178,0.17391304347826086
openai-o1-30000,0.3171355498721228,0.2826086956521739,0.4588235294117647,0.2727272727272727,0.2831858407079646,0.21739130434782608
deepseek-v3-8000,0.319693094629156,0.2826086956521739,0.5176470588235295,0.2727272727272727,0.26548672566371684,0.21739130434782608
huggingface-gemma-2-9b-it-4096,0,,,,,
huggingface-gemma-2-9b-it-512,0,,,,,
together-Llama-3.3-70B-Instruct-8000,0.17647058823529413,0.1956521739130435,0.2823529411764706,0.09090909090909091,0.1415929203539823,0.13043478260869565
openai-gpt4o-mini-8000,0.13567362428842505,0.06976744186046512,0.20388349514563106,0.3333333333333333,0.11910994764397906,0.20588235294117646
google-gemini-2.0-flash-exp-8000,0.27877237851662406,0.30434782608695654,0.49411764705882355,0.18181818181818182,0.2079646017699115,0.17391304347826086
huggingface-Qwen2.5-72B-GeoGPT-8000,0.15089514066496162,0.15217391304347827,0.27058823529411763,0.09090909090909091,0.10619469026548672,0.17391304347826086
deepseek-r1-8000,0.3657289002557545,0.2608695652173913,0.5294117647058824,0.2727272727272727,0.3495575221238938,0.17391304347826086
huggingface-Qwen2.5-3B-Instruct-8000,0,,,,,
huggingface-gemma-2-9b-it-8000,0,,,,,
together-Qwen2.5-7B-Instruct-Turbo-8000,0.1278772378516624,0.17391304347826086,0.18823529411764706,0.09090909090909091,0.10176991150442478,0.08695652173913043
together-Qwen3-235B-A22B-fp8-tput-30000,0.329923273657289,0.30434782608695654,0.5411764705882353,0.0,0.2831858407079646,0.21739130434782608
together-Llama-3.1-405B-Instruct-Turbo-8000,0.1329923273657289,0.17391304347826086,0.21176470588235294,0.18181818181818182,0.09292035398230089,0.13043478260869565
