Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,30/30,0,1,0
2,100.0,30/30,0,1,0
3,93.33,28/30,0,1,0
4,100.0,30/30,0,1,0
6,100.0,30/30,0,1,0
8,100.0,30/30,0,1,0
9,46.67,14/30,0,1,0
10,80.0,24/30,0,1,0
11,83.33,25/30,0,1,0
12,96.67,29/30,0,1,0
13,50.0,15/30,0,1,0
14,86.67,26/30,0,1,0
15,96.67,29/30,0,1,0
16,100.0,30/30,0,1,0
17,100.0,30/30,0,1,0
18,100.0,30/30,0,1,0
19,96.67,29/30,0,1,0
20,100.0,30/30,0,1,0
21,100.0,30/30,0,1,0
22,66.67,20/30,0,1,0
23,100.0,30/30,0,1,0
24,63.33,19/30,0,0,0
25,100.0,30/30,0,1,0
26,100.0,30/30,0,1,0
27,86.67,26/30,0,1,0
28,100.0,30/30,0,1,0
29,100.0,30/30,0,1,0
30,33.33,10/30,0,1,0
31,100.0,30/30,0,1,0
32,100.0,30/30,0,1,0
34,93.33,28/30,0,1,0
35,100.0,30/30,0,1,0
36,100.0,30/30,0,1,0
37,56.67,17/30,0,1,0
38,96.67,29/30,0,1,0
39,93.33,28/30,0,1,0
40,90.0,27/30,0,1,0
41,100.0,30/30,0,1,0
42,100.0,30/30,0,1,0
45,83.33,25/30,0,1,0
46,100.0,30/30,0,1,0
47,100.0,30/30,0,1,0
48,90.0,27/30,0,1,0
49,100.0,30/30,0,1,0
50,96.67,29/30,0,1,0
51,60.0,18/30,0,1,0
52,76.67,23/30,0,0,0
55,96.67,29/30,0,1,0
56,100.0,30/30,0,1,0
59,96.67,29/30,1,1,0
60,40.0,12/30,0,0,0
61,80.0,24/30,0,1,0
63,53.33,16/30,0,1,0
64,100.0,30/30,0,1,0
65,100.0,30/30,0,1,0
66,100.0,30/30,0,1,0
67,80.0,24/30,0,1,0
69,100.0,30/30,0,1,0
70,63.33,19/30,2,0,0
71,100.0,30/30,0,1,0
72,96.67,29/30,0,1,0
74,30.0,9/30,0,0,0
75,83.33,25/30,0,1,0
76,100.0,30/30,0,1,0
77,76.67,23/30,0,1,0
79,96.67,29/30,0,1,0
80,100.0,30/30,0,1,0
