instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,92.54,0,67,62,0,62/67,86.49,100.0,100.0,100.0,100.0
10,92.54,0,67,62,0,62/67,91.89,92.86,85.71,100.0,100.0
11,95.52,0,67,64,0,64/67,91.89,100.0,100.0,100.0,100.0
12,83.58,0,67,56,0,56/67,75.68,92.86,85.71,100.0,100.0
13,86.57,0,67,58,0,58/67,81.08,92.86,100.0,100.0,75.0
14,88.06,0,67,59,0,59/67,83.78,92.86,100.0,100.0,75.0
15,91.04,1,67,61,0,61/67,86.49,92.86,100.0,100.0,100.0
16,85.07,1,67,57,0,57/67,86.49,85.71,71.43,100.0,75.0
17,86.57,0,67,58,0,58/67,81.08,92.86,85.71,100.0,100.0
18,92.54,0,67,62,0,62/67,86.49,100.0,100.0,100.0,100.0
19,85.07,0,67,57,0,57/67,83.78,92.86,71.43,100.0,75.0
2,88.06,0,67,59,0,59/67,86.49,85.71,100.0,100.0,75.0
20,88.06,0,67,59,0,59/67,86.49,85.71,85.71,100.0,100.0
21,88.06,0,67,59,0,59/67,83.78,92.86,100.0,100.0,75.0
22,88.06,0,67,59,0,59/67,83.78,85.71,100.0,100.0,100.0
23,82.09,0,67,55,0,55/67,78.38,92.86,71.43,100.0,75.0
24,89.55,0,67,60,0,60/67,86.49,92.86,100.0,100.0,75.0
25,89.55,0,67,60,0,60/67,86.49,92.86,100.0,100.0,75.0
26,89.55,0,67,60,0,60/67,86.49,92.86,100.0,100.0,75.0
27,89.55,1,67,60,0,60/67,86.49,100.0,100.0,80.0,75.0
28,82.09,0,67,55,0,55/67,75.68,92.86,85.71,100.0,75.0
29,88.06,0,67,59,0,59/67,86.49,92.86,85.71,100.0,75.0
3,86.57,0,67,58,0,58/67,83.78,85.71,100.0,100.0,75.0
30,83.58,0,67,56,0,56/67,81.08,78.57,100.0,100.0,75.0
4,85.07,0,67,57,0,57/67,75.68,100.0,100.0,80.0,100.0
5,94.03,0,67,63,0,63/67,91.89,100.0,100.0,100.0,75.0
6,91.04,0,67,61,0,61/67,89.19,92.86,85.71,100.0,100.0
7,91.04,0,67,61,0,61/67,91.89,100.0,85.71,100.0,50.0
8,89.55,0,67,60,0,60/67,81.08,100.0,100.0,100.0,100.0
9,83.58,0,67,56,0,56/67,78.38,92.86,100.0,100.0,50.0
