Question Template,Accuracy (%),Correct/Total,NoAnswer Count,Original Correct,Error Count
1,100.0,10/10,0,1,0
2,90.0,9/10,0,1,0
3,60.0,6/10,0,1,0
4,90.0,9/10,0,1,0
6,100.0,10/10,0,1,0
8,100.0,10/10,0,1,0
9,40.0,4/10,0,1,0
10,80.0,8/10,0,1,0
11,70.0,7/10,0,1,0
12,100.0,10/10,0,1,0
13,50.0,5/10,2,1,0
14,60.0,6/10,0,1,0
15,40.0,4/10,0,0,0
16,90.0,9/10,0,1,0
17,100.0,10/10,0,1,0
18,20.0,2/10,0,1,0
19,100.0,10/10,0,1,0
20,90.0,9/10,0,1,0
21,60.0,6/10,0,1,0
22,10.0,1/10,0,0,0
23,90.0,9/10,0,1,0
24,30.0,3/10,0,0,0
25,100.0,10/10,0,1,0
26,90.0,9/10,1,1,0
27,70.0,7/10,0,1,0
28,80.0,8/10,0,0,0
29,100.0,10/10,0,1,0
30,20.0,2/10,0,0,0
31,100.0,10/10,0,1,0
32,90.0,9/10,0,1,0
34,60.0,6/10,0,1,0
35,90.0,9/10,0,1,0
36,100.0,10/10,0,1,0
37,30.0,3/10,0,1,0
38,90.0,9/10,0,0,0
39,100.0,10/10,0,1,0
40,40.0,4/10,0,1,0
41,90.0,9/10,0,1,0
42,100.0,10/10,0,1,0
45,50.0,5/10,0,1,0
46,100.0,10/10,0,1,0
47,100.0,10/10,0,1,0
48,70.0,7/10,0,1,0
49,50.0,5/10,2,0,0
50,70.0,7/10,0,1,0
51,70.0,7/10,0,1,0
52,80.0,8/10,0,1,0
55,70.0,7/10,0,1,0
56,20.0,2/10,0,0,0
59,90.0,9/10,0,0,0
60,30.0,3/10,0,0,0
61,20.0,2/10,0,0,0
63,50.0,5/10,0,1,0
64,90.0,9/10,0,1,0
65,100.0,10/10,0,1,0
66,90.0,9/10,0,1,0
67,40.0,4/10,0,0,0
69,100.0,10/10,0,1,0
70,40.0,4/10,0,1,0
71,50.0,5/10,0,0,0
72,90.0,9/10,0,1,0
74,10.0,1/10,0,0,0
75,60.0,6/10,0,1,0
76,90.0,9/10,0,1,0
77,60.0,6/10,0,1,0
79,100.0,10/10,0,1,0
80,100.0,10/10,0,1,0
