instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,86.57,0,67,58,0,58/67,83.78,85.71,85.71,100.0,100.0
10,86.57,0,67,58,0,58/67,86.49,85.71,85.71,100.0,75.0
11,86.57,0,67,58,0,58/67,81.08,92.86,85.71,100.0,100.0
12,91.04,0,67,61,0,61/67,86.49,100.0,85.71,100.0,100.0
13,85.07,0,67,57,0,57/67,81.08,85.71,100.0,100.0,75.0
14,80.6,0,67,54,0,54/67,78.38,78.57,85.71,100.0,75.0
15,85.07,0,67,57,0,57/67,81.08,85.71,85.71,100.0,100.0
16,85.07,0,67,57,0,57/67,86.49,78.57,71.43,100.0,100.0
17,89.55,0,67,60,0,60/67,89.19,92.86,85.71,100.0,75.0
18,92.54,0,67,62,0,62/67,89.19,100.0,100.0,100.0,75.0
19,80.6,0,67,54,0,54/67,83.78,78.57,85.71,80.0,50.0
2,77.61,0,67,52,0,52/67,75.68,64.29,100.0,100.0,75.0
20,79.1,0,67,53,0,53/67,70.27,92.86,71.43,100.0,100.0
21,88.06,0,67,59,0,59/67,86.49,92.86,85.71,100.0,75.0
22,89.55,0,67,60,0,60/67,83.78,92.86,100.0,100.0,100.0
23,79.1,0,67,53,0,53/67,81.08,85.71,85.71,80.0,25.0
24,76.12,0,67,51,0,51/67,67.57,100.0,71.43,100.0,50.0
25,85.07,0,67,57,0,57/67,81.08,85.71,100.0,100.0,75.0
26,83.58,0,67,56,0,56/67,72.97,100.0,85.71,100.0,100.0
27,89.55,0,67,60,0,60/67,86.49,100.0,100.0,80.0,75.0
28,83.58,0,67,56,0,56/67,83.78,92.86,71.43,100.0,50.0
29,79.1,0,67,53,0,53/67,78.38,92.86,42.86,100.0,75.0
3,79.1,0,67,53,0,53/67,72.97,78.57,100.0,100.0,75.0
30,85.07,0,67,57,0,57/67,81.08,92.86,85.71,100.0,75.0
31,82.09,0,67,55,0,55/67,75.68,85.71,85.71,100.0,100.0
32,86.57,0,67,58,0,58/67,83.78,100.0,71.43,100.0,75.0
33,88.06,0,67,59,0,59/67,86.49,92.86,71.43,100.0,100.0
34,88.06,0,67,59,0,59/67,81.08,100.0,100.0,80.0,100.0
35,85.07,0,67,57,0,57/67,83.78,92.86,85.71,100.0,50.0
36,86.57,0,67,58,0,58/67,81.08,92.86,100.0,80.0,100.0
37,79.1,0,67,53,0,53/67,75.68,85.71,85.71,100.0,50.0
38,79.1,0,67,53,0,53/67,75.68,85.71,71.43,100.0,75.0
39,79.1,0,67,53,0,53/67,78.38,92.86,42.86,80.0,100.0
4,80.6,0,67,54,0,54/67,70.27,92.86,85.71,100.0,100.0
40,85.07,0,67,57,0,57/67,81.08,92.86,100.0,80.0,75.0
5,86.57,1,67,58,1,58/67,81.08,100.0,100.0,100.0,50.0
6,86.57,1,67,58,1,58/67,81.08,85.71,100.0,100.0,100.0
7,79.1,1,67,53,1,53/67,75.68,85.71,71.43,100.0,75.0
8,85.07,1,67,57,1,57/67,81.08,85.71,100.0,100.0,75.0
9,79.1,1,67,53,1,53/67,72.97,85.71,85.71,100.0,75.0
