instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total
1,86.57,0,67,58,0,58/67
10,86.57,0,67,58,0,58/67
11,86.57,0,67,58,0,58/67
12,91.04,0,67,61,0,61/67
13,85.07,0,67,57,0,57/67
14,80.6,0,67,54,0,54/67
15,85.07,0,67,57,0,57/67
16,85.07,0,67,57,0,57/67
17,89.55,0,67,60,0,60/67
18,92.54,0,67,62,0,62/67
19,80.6,0,67,54,0,54/67
2,77.61,0,67,52,0,52/67
20,79.1,0,67,53,0,53/67
21,88.06,0,67,59,0,59/67
22,89.55,0,67,60,0,60/67
23,79.1,0,67,53,0,53/67
24,76.12,0,67,51,0,51/67
25,85.07,0,67,57,0,57/67
26,83.58,0,67,56,0,56/67
27,89.55,0,67,60,0,60/67
28,83.58,0,67,56,0,56/67
29,79.1,0,67,53,0,53/67
3,79.1,0,67,53,0,53/67
30,85.07,0,67,57,0,57/67
4,80.6,0,67,54,0,54/67
5,86.57,1,67,58,1,58/67
6,86.57,1,67,58,1,58/67
7,79.1,1,67,53,1,53/67
8,85.07,1,67,57,1,57/67
9,79.1,1,67,53,1,53/67
