instance,correct_rate,no_answer_count,total_questions,correct_count,error_count,correct_over_total,Atmospheric Dynamics,Atmospheric Physics,Geophysics,Hydrology,Physical Oceanography
1,92.54,0,67,62,0,62/67,86.49,100.0,100.0,100.0,100.0
10,86.57,0,67,58,0,58/67,83.78,85.71,85.71,100.0,100.0
11,92.54,0,67,62,0,62/67,89.19,92.86,100.0,100.0,100.0
12,86.57,0,67,58,0,58/67,81.08,100.0,100.0,80.0,75.0
13,80.6,0,67,54,0,54/67,75.68,85.71,85.71,100.0,75.0
14,83.58,0,67,56,0,56/67,81.08,85.71,100.0,100.0,50.0
15,92.54,0,67,62,0,62/67,91.89,85.71,100.0,100.0,100.0
16,89.55,0,67,60,0,60/67,89.19,92.86,71.43,100.0,100.0
17,88.06,0,67,59,0,59/67,86.49,85.71,85.71,100.0,100.0
18,91.04,0,67,61,0,61/67,89.19,92.86,100.0,100.0,75.0
19,85.07,0,67,57,0,57/67,81.08,92.86,85.71,100.0,75.0
2,95.52,0,67,64,0,64/67,94.59,92.86,100.0,100.0,100.0
20,86.57,0,67,58,0,58/67,81.08,92.86,85.71,100.0,100.0
21,88.06,0,67,59,0,59/67,86.49,92.86,100.0,100.0,50.0
22,92.54,0,67,62,0,62/67,91.89,85.71,100.0,100.0,100.0
23,91.04,0,67,61,0,61/67,89.19,100.0,85.71,100.0,75.0
24,88.06,0,67,59,0,59/67,83.78,100.0,100.0,100.0,50.0
25,89.55,0,67,60,0,60/67,83.78,100.0,100.0,100.0,75.0
26,91.04,0,67,61,0,61/67,86.49,100.0,100.0,100.0,75.0
27,92.54,0,67,62,0,62/67,91.89,100.0,100.0,100.0,50.0
28,88.06,0,67,59,0,59/67,86.49,92.86,85.71,100.0,75.0
29,91.04,0,67,61,0,61/67,89.19,85.71,100.0,100.0,100.0
3,92.54,0,67,62,0,62/67,94.59,85.71,100.0,100.0,75.0
30,86.57,0,67,58,0,58/67,81.08,100.0,100.0,80.0,75.0
4,86.57,0,67,58,0,58/67,81.08,85.71,100.0,100.0,100.0
5,89.55,0,67,60,0,60/67,83.78,100.0,100.0,100.0,75.0
6,91.04,0,67,61,0,61/67,89.19,92.86,100.0,100.0,75.0
7,89.55,0,67,60,0,60/67,89.19,92.86,85.71,100.0,75.0
8,92.54,1,67,62,0,62/67,89.19,92.86,100.0,100.0,100.0
9,83.58,0,67,56,0,56/67,83.78,78.57,85.71,100.0,75.0
